idFrom,idTo,value,start_block,end_block
0x95b564f3b3bae3f206aa418667ba000afafacc8a,0x2b0d52ceb05a883b8a564d3c7f8524f25aa67533,102955.6756000,12996616,12996715
0x6753818a769f2024a454fd471d663fac4ddaeefb,0x3e021d1d2a76e66d4b78a385e748c1281fc86e5f,66000.0857300,12996616,12996715
0x0ccbdf2691686cb6310b5c1a7eebfb2d47d63f61,0xd7863e9b9344e5adcfd4d9619fb0cb75ab5df241,11123.9711900,12996616,12996715
0x46340b20830761efd32832a74d7169b29feb9758,0xcd506a7b51ad7e7a23c91c3d4f0ad88417cf4cf4,22247.9423900,12996616,12996715
0xe88b09fa2340f01a1389154a03c16445523597a2,0x0823beba3f1f0caad19ce9e5724c4f5ce0a2fb97,8744.8559670,12996616,12996715
0xfc1821598d30e6470f221a516cb5c9329df4daca,0xe59cd29be3be4461d79c0881d238cbe87d64595a,10370.5803100,12996616,12996715
0xc98454b107cbfb4a19a900bdf7e22a8c85b759e9,0xe59cd29be3be4461d79c0881d238cbe87d64595a,497.6078104,12996616,12996715
0x2ecbaf17327942a98501abc50272ccd063028409,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,107167.3525000,12996616,12996715
0xb1db0e4831c67dc50d2d606f1e4df6e7eb0e3c7d,0xe59cd29be3be4461d79c0881d238cbe87d64595a,8570.8169580,12996616,12996715
0xf64d6e3cc6da069549f27829104b6e1f059f6634,0x87ad787b5e26886f1a2dd1eb5ca4b6d4f430c4d5,2143.3470510,12996616,12996715
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x6ec1a1ac110424fb8d2af1e30f08a4b2e9ba9266,3433.1936090,12996616,12996715
0x87bc1b3e3db2a4c8d8def57817addc93afd5ea3f,0x98bf13217d06b1ea7c4333138ebba2ec60a54605,171467.7641000,12996616,12996715
0x1c79a8ec7638d9f48171ba73afff58fc568049d6,0x0d86dd3590eecfc3cf2d7897c1fc00ce49e5335a,4286694.1020000,12996616,12996715
0x1b143c4758ad70b1a14c1adcd2c143a1594073ad,0x86fa716a815d1ab275f58dbdc6e36ca1e067466c,2581.2783780,12996616,12996715
0x931ba278be6d6672f334d234627a35dcf61600a3,0x62983b602745df89953a89e14707c12081cdc43d,63978.9094700,12996616,12996715
0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,0x32dd23db5bd5f09ccc9b8774d952bf0b3813439a,6813.7144420,12996616,12996715
0x08cea96ee89a3f8f36f342ca98c3f658cb343802,0xfc009e3e1d0a06c5695b1fb29b38fe609a002fd0,224387.0027000,12996616,12996715
0xcd631003f94ccd3ba191cd2dc541f933c243f626,0x6582a429f57ceb5cb97454de1ff6092630cbf370,5358367.6270000,12996616,12996715
0xa03d3611b34c3c49dbcb8206ed08fe6467f684a5,0xac36be9d531fb256da44909584b31ca32ce70c9e,32150205.7600000,12996616,12996715
0x7b511e08e00397627f4e76d5bdc30ebabf168a68,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,848208.1619000,12996616,12996715
0x2710bae50a457b40c91d8540e7d5dec92c334763,0x49ebd1044b1af71bf0d1cafb656102f0d2d414e5,10645.8040100,12996616,12996715
0x57a19dc7deeb8407a468181642da6b711c50352f,0x74de5d4fcbf63e00296fd95d33236b9794016631,41108.9653800,12996616,12996715
0x57a19dc7deeb8407a468181642da6b711c50352f,0x74de5d4fcbf63e00296fd95d33236b9794016631,41108.9653800,12996616,12996715
0x00d709cde7844d2af68e51b090efb721693899f5,0xfdb16996831753d5331ff813c29a93c76834a0ad,1198131.0010000,12996616,12996715
0x86ae099acd82f0e99f2b3bc2c425ca999ea5d7ad,0xab5c66752a9e8167967685f1450532fb96d5d24f,110629.7154000,12996616,12996715
0xe8f177f0640922b393b392fc1ff33a8d7e081d4b,0xfdb16996831753d5331ff813c29a93c76834a0ad,14874.8285300,12996616,12996715
0x4d9cfb190ef1331c39a7befa0d75aa01cc04f5f9,0xfdb16996831753d5331ff813c29a93c76834a0ad,117214.2918000,12996616,12996715
0x30db40c8206623658813f03e340e0628dc035881,0x2e75d5c6ecd04f5f79a026ab46271da93c814a8f,1690329.2180000,12996616,12996715
0xd2c2bec61be60a82ba58661956ae85522bc3027b,0xdb82e0362be2130103a41907b5010d994f7c2ff1,278635.1166000,12996616,12996715
0x9972e99f996d64aedf755f13aedc0465a644399b,0xc6f36218fffe791b1584c4ec7b9a8213f68c3ec4,3472.2222220,12996616,12996715
0x73fc4f562ea1f1d6583db812f8ec8760f327fe67,0x073f095f0d69f9269bf9ffdb9934f27539ca3cf8,174786677699999989760.0000000,12996616,12996715
0x3cd751e6b0078be393132286c442345e5dc49699,0x51f9a4762f634be46620f56afe6e8a8b1b76c967,12924.3827200,12996616,12996715
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xe03438c39a201e009fc09f327d8a808fff92c405,730.6201989,12996616,12996715
0x3cd751e6b0078be393132286c442345e5dc49699,0x4c2edfb88433cbc3da9f2b422b070f2076c1dfdc,58220.5549600,12996616,12996715
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xa06582e1160f586568c020afadae38535958ae89,34293.5528100,12996616,12996715
0xb06e6c8f0d1dd37b8bdf8bece5760c9c238a1d65,0x31cf0327782a22958e7361f75ed86a7b69eb0aa7,53583676270000000.0000000,12996616,12996715
0x736a994b12c7ce21f9c18dea077e469a4b57d946,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,10716.7352500,12996616,12996715
0xb06e6c8f0d1dd37b8bdf8bece5760c9c238a1d65,0x31cf0327782a22958e7361f75ed86a7b69eb0aa7,53583676270000000.0000000,12996616,12996715
0xa65cd6ed8d299605e91f17056eb0eb4450ca2fa9,0xc5238be0c43c5e145603efd1ac2bda4a54ed21d9,16525.2057600,12996616,12996715
0x11b815efb8f581194ae79006d24e0d814b7697f6,0xe592427a0aece92de3edee1f18e0157c05861564,8587645338000.0000000,12996616,12996715
0x45225d3536ac02928f16071ab05066bce95c2cd5,0x269b2c7f3fa2774ea838fee64c5d38e72f64b8b8,6430.0411520,12996616,12996715
0xdd4dd69b5647c0b03c49edcd4ec48ff8e29b2cc9,0x2fb07c7ec402cc6d59f03e19f1a149f317ffed30,47989.5404700,12996616,12996715
0xd65226059587ce78bc00c5c2eaae058953533d6a,0xe59cd29be3be4461d79c0881d238cbe87d64595a,673.6539781,12996616,12996715
