idFrom,idTo,value
0xfaa318479b7755b2dbfdd34dc306cb28b420ad12,0xdcf8ad2987f4d0ec724a907a8fafedaae85d590c,0.00006
0x2fa103d8d88dc2d7da24fc723a3465fb00b0479c,0x823fb6965c13ac97030e0b8f9cf573cc1a0df588,0.00003
0x815492811db4abc26ea3d282bdce38c8f5a371be,0x5053bfff87d647d84c185f23d215136c95f4872d,0.00000
0xe93381fb4c4f14bda253907b18fad305d799241a,0x18a1738073d427ccf4c168fd4a1f5830a859f8c4,0.00059
0x9f178e86e42ddf2379cb3d2acf9ed67a1ed2550a,0x0ab5eb45374dbc4d109c1cace993c029a76e3c83,0.00018
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.00025
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,0xc36442b4a4522e871399cd717abdd847ab11fe88,0.00025
0xfddc0bfdbb88a59ee24786ed7f4f883109a0babe,0x2ce9f4fc52af5498b99597141e66a4273aa74983,0.00008
0xf4fa0a41296503a44f96a7b0b8a3d5484a37757b,0x7e451ab571a119fd6cf36e5b91b58303e81e1d4f,0.01200
0x153903c5e415212afcc5e835782990ad55260a5b,0x62e04a9179e9251cf200ebb1f2f2285727daf0e9,0.00000
0xc8c7fae708003907eae2319c8cbd63481a16ff1c,0x5c799390b60cc42bc133741fd8a827eb03acca02,0.00034
0x2fa103d8d88dc2d7da24fc723a3465fb00b0479c,0xdaf6e9a4e088dd92f2edf043e797980d72641a78,0.00000
0x059b3c61f44510b6e43eaa9e86656479e2c55040,0x57df5faf1174e68d121fe5bb3fa0f59dae70496f,0.00000
0x815492811db4abc26ea3d282bdce38c8f5a371be,0x09b2ea2ed174265f32ac2885866d3a6beda0d399,0.00000
0xd0fc8ba7e267f2bc56044a7715a489d851dc6d78,0x00000058baccda12cf345edc9d99613cf1312b91,0.00000
0xfa1d9db1e3910d5579e9dcea5502924fc60e2d63,0x4ae26e87e97374f44fbf25eab31461256840520f,0.01293
0xa12a918aa308dc665bdf54dfdee3840157354177,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0.00699
0xa12a918aa308dc665bdf54dfdee3840157354177,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0.00699
0x100aceca80c6384636cbd81428ce85f588da38e5,0xf4fa0a41296503a44f96a7b0b8a3d5484a37757b,0.00027
0x5c799390b60cc42bc133741fd8a827eb03acca02,0xb739d0895772dbb71a89a3754a160269068f0d45,0.00034
0x59a5208b32e627891c389ebafc644145224006e8,0x32c27143b4306431832a81707a7727453411405c,0.00013
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,0x556f710d3f9fcb8d8556eee48b52753af9312e6c,0.00005
0x4184d9a175d13e568f3466ea93c02b6f8eb9f8c1,0x80593a336e3dba6ae7d6195bf99da86ed50135d9,0.00000
0x4184d9a175d13e568f3466ea93c02b6f8eb9f8c1,0x80593a336e3dba6ae7d6195bf99da86ed50135d9,0.00000
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,0x621fafce1950c0329b425c5ea82428bb195f0237,0.00025
0x86611091d4ca6576cefcb89a06023fe266501621,0x80c6917896dd1907fdbdba59ead6aa096286aa98,0.00001
0x2fa103d8d88dc2d7da24fc723a3465fb00b0479c,0x90633ce2d006254deb5a6729f1557113742106f3,0.00000
0xad2021fe210e3f26d418eabc14be619a993ed3ed,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.00022
0xad2021fe210e3f26d418eabc14be619a993ed3ed,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.00022
