addressFrom,addressTo,value
0x7b7edbd4b8977b08a158911b0eff638cbef2c932,0x2a549b4af9ec39b03142da6dc32221fc390b5533,0.0028980
0xc3d9d96da22e25499ea3a5667bde39430a20a74b,0x1bd435f3c054b6e901b7b108a0ab7617c808677b,0.0000000
0xe5d1a46f274b1a561b36c7b4d52f695f543ce373,0x1824df8d751704fa10fa371d62a37f9b8772ab90,0.2984777
0x888fb081e304c8ff4ece755046e5b9b65ac10caa,0x912fd21d7a69678227fe6d08c64222db41477ba0,0.1829900
0xf289f464e1b4c6e1ab78dd8f3f0712a6f4dab6d8,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0000000
0xa1ab7a4aa264745912db261536291336f7e543ac,0x43cf1744f8d2d29369ff3b2d0df8e7eb259734ac,0.0008767
0x7df2ccfc4f5e025e424092a1c148c883a39301ec,0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,0.0019061
0x1fac1af8c54931dda5630e7b531634e154723ca8,0xf00e80f0de9aea0b33aa229a4014572777e422ee,0.0001401
0xbf72da2bd84c5170618fbe5914b0eca9638d5eb5,0xf7d9b4610f88f4d08019ec4d42ebf693cb950e76,0.0000000
0x0000000000000000000000000000000000000000,0xb62f95849f6c3f7a5ae9828b43dce5924a209194,0.3176910
0x720d8790666bd40b9ca289cbe73cb1334f0ae7e3,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,105.5686608
0x503828976d22510aad0201ac7ec88293211d23da,0xfa0981e179e449895100b81a09d3e1207836fa40,6.3538201
0x95b7db7930cf4264ec5a53f237f84f3cc00fedb0,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0.0000000
0xe8e3ce680643217bb2dbbae7dfdd80d4294a00bb,0x503828976d22510aad0201ac7ec88293211d23da,0.0001349
0xbb2be915ad7987bae14c47a679e080e71cf556ee,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.1270764
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x57845987c8c859d52931ee248d8d84ab10532407,0.0039413
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x666d9e96d853cb2f39ce550aa618d8f17c56e5c7,0.0334260
0x6ff8c53a159839ec7121f76ed873d68a2df26f87,0x90220cc765e0b5cd11df0d94436c6963690c87fd,0.0017537
0x7cebafc6fd780c266c25329138b56bfe251c8f86,0x01b9369cf8624e1f9960864c18411b4b07eb91ac,0.0329932
0xbfb744bf537a17fdcd66e79c0231e6cfeaa428b9,0x470e8de2ebaef52014a47cb5e6af86884947f08c,0.0381229
0x45fbeba74005f56d3419538f2770a09b0629ecfc,0x60b2cc2c6ecd3dd89b4fd76818ef83186e2f2931,0.1303523
0xd3e52099a6a48f132cb23b1364b7dee212d862f6,0x0f9c301f40d6473769fe307ab80b73b19f6466d6,0.0180667
0x4a6f894ccfe3f8dcb578a05c47f509346fbf8a20,0x890f4e345b1daed0367a877a1612f86a1f86985f,25.3936147
0xbbd21e3bf53d6cc44efb4636f9addcb935b1172d,0xe82906b6b1b04f631d126c974af57a3a7b6a99d9,0.1524917
0x26c5310a480a9c3bb2ca42246f093a82f4ab9849,0x503828976d22510aad0201ac7ec88293211d23da,0.0026050
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x9f1d5621896c4d075adcd327b0deba48007093cb,0.0000001
0x247d103affca1fa67099b722b340f8ad74eaccac,0x74de5d4fcbf63e00296fd95d33236b9794016631,0.0123832
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xad1cd855192433157c9d1403c90a0d7e840cf191,0.1035646
0x51f9471772910577937166eb5cb11ade82f1e29d,0x06da0fd433c1a5d7a4faa01111c044910a184553,0.0000000
0xefd445f6ca1d73bca3611114c4e7b142c1c4d4c0,0x28c6c06298d514db089934071355e5743bf21d60,0.0071824
0x6bf26cc27cd07faa6ed3416cb01aa3d66c7c7ebf,0x28c6c06298d514db089934071355e5743bf21d60,0.2150414
0xc8ba22bd3eedafb7c62619d1b97a0c0d29a2a8e5,0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,0.0000000
0x6c6bc977e13df9b0de53b251522280bb72383700,0x3205a2856b0f841189f732d7f177ebda130d2a91,0.0000000
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,0x9b5b64b25bc4fb60709fd7c236d4060fe409b6f0,0.0009007
0x10ebd0e6130f68ba795437f2d36a88e05609d39b,0x1824df8d751704fa10fa371d62a37f9b8772ab90,0.0014661
0x19dc3a6e262e90ae18a5b8087aba4812ecd39c99,0x01962144d41415cca072900fe87bbe2992a99f10,0.0021349
0x29f01fa20886eff9ba9d08ad8e9e1ec7adcf89e6,0x851772b3aa03ec6d95030b80a43a10f5b0b19699,2.0331208
0x6727727aa0500c08ebd5f60cd75421eafb5472ff,0xf69a2faa5723eecd43c27276175349385186c594,0.0007739
0x9a87a59040f86b5879cd21cf0b0c42a0c3e2a2ad,0x4b0a61ff1a09577122600b997cfbf03fa0b3c70b,12.2273579
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0x06da0fd433c1a5d7a4faa01111c044910a184553,0.0000000
0xe31dc7e8a3f19fe2ce5377d2d4ed8822c4786a7e,0x88f516c04969f470888473458b5e09342da08b7a,0.0010810
0xea5ed53ec1244a1baf72086c6f5726b1dd913fdc,0x0000000000000000000000000000000000000000,61.4038524
